parish,office,district,party,candidate,votes
Acadia,U.S. Senate,,D,Mary Landrieu,7195
Acadia,U.S. Senate,,R,Suzanne Haik Terrell,8214
Allen,U.S. Senate,,D,Mary Landrieu,3111
Allen,U.S. Senate,,R,Suzanne Haik Terrell,2201
Ascension,U.S. Senate,,D,Mary Landrieu,11327
Ascension,U.S. Senate,,R,Suzanne Haik Terrell,11336
Assumption,U.S. Senate,,D,Mary Landrieu,4966
Assumption,U.S. Senate,,R,Suzanne Haik Terrell,2414
Avoyelles,U.S. Senate,,D,Mary Landrieu,6464
Avoyelles,U.S. Senate,,R,Suzanne Haik Terrell,4897
Beauregard,U.S. Senate,,D,Mary Landrieu,3276
Beauregard,U.S. Senate,,R,Suzanne Haik Terrell,4638
Bienville,U.S. Senate,,D,Mary Landrieu,3075
Bienville,U.S. Senate,,R,Suzanne Haik Terrell,2120
Bossier,U.S. Senate,,D,Mary Landrieu,10477
Bossier,U.S. Senate,,R,Suzanne Haik Terrell,15005
Caddo,U.S. Senate,,D,Mary Landrieu,39669
Caddo,U.S. Senate,,R,Suzanne Haik Terrell,31073
Calcasieu,U.S. Senate,,D,Mary Landrieu,25918
Calcasieu,U.S. Senate,,R,Suzanne Haik Terrell,22546
Caldwell,U.S. Senate,,D,Mary Landrieu,1237
Caldwell,U.S. Senate,,R,Suzanne Haik Terrell,1635
Cameron,U.S. Senate,,D,Mary Landrieu,1279
Cameron,U.S. Senate,,R,Suzanne Haik Terrell,1277
Catahoula,U.S. Senate,,D,Mary Landrieu,1600
Catahoula,U.S. Senate,,R,Suzanne Haik Terrell,1410
Claiborne,U.S. Senate,,D,Mary Landrieu,2351
Claiborne,U.S. Senate,,R,Suzanne Haik Terrell,2074
Concordia,U.S. Senate,,D,Mary Landrieu,2853
Concordia,U.S. Senate,,R,Suzanne Haik Terrell,2491
De Soto,U.S. Senate,,D,Mary Landrieu,4292
De Soto,U.S. Senate,,R,Suzanne Haik Terrell,3318
East Baton Rouge,U.S. Senate,,D,Mary Landrieu,63418
East Baton Rouge,U.S. Senate,,R,Suzanne Haik Terrell,61229
East Carroll,U.S. Senate,,D,Mary Landrieu,1360
East Carroll,U.S. Senate,,R,Suzanne Haik Terrell,801
East Feliciana,U.S. Senate,,D,Mary Landrieu,3645
East Feliciana,U.S. Senate,,R,Suzanne Haik Terrell,2976
Evangeline,U.S. Senate,,D,Mary Landrieu,4740
Evangeline,U.S. Senate,,R,Suzanne Haik Terrell,4563
Franklin,U.S. Senate,,D,Mary Landrieu,2604
Franklin,U.S. Senate,,R,Suzanne Haik Terrell,3150
Grant,U.S. Senate,,D,Mary Landrieu,1775
Grant,U.S. Senate,,R,Suzanne Haik Terrell,2677
Iberia,U.S. Senate,,D,Mary Landrieu,8215
Iberia,U.S. Senate,,R,Suzanne Haik Terrell,10274
Iberville,U.S. Senate,,D,Mary Landrieu,7390
Iberville,U.S. Senate,,R,Suzanne Haik Terrell,3431
Jackson,U.S. Senate,,D,Mary Landrieu,2691
Jackson,U.S. Senate,,R,Suzanne Haik Terrell,2786
Jefferson,U.S. Senate,,D,Mary Landrieu,56085
Jefferson,U.S. Senate,,R,Suzanne Haik Terrell,70473
Jefferson Davis,U.S. Senate,,D,Mary Landrieu,4179
Jefferson Davis,U.S. Senate,,R,Suzanne Haik Terrell,3780
Lafayette,U.S. Senate,,D,Mary Landrieu,21144
Lafayette,U.S. Senate,,R,Suzanne Haik Terrell,30568
Lafourche,U.S. Senate,,D,Mary Landrieu,12838
Lafourche,U.S. Senate,,R,Suzanne Haik Terrell,10557
Lasalle,U.S. Senate,,D,Mary Landrieu,1253
Lasalle,U.S. Senate,,R,Suzanne Haik Terrell,2530
Lincoln,U.S. Senate,,D,Mary Landrieu,5305
Lincoln,U.S. Senate,,R,Suzanne Haik Terrell,6327
Livingston,U.S. Senate,,D,Mary Landrieu,9321
Livingston,U.S. Senate,,R,Suzanne Haik Terrell,16897
Madison,U.S. Senate,,D,Mary Landrieu,1759
Madison,U.S. Senate,,R,Suzanne Haik Terrell,1333
Morehouse,U.S. Senate,,D,Mary Landrieu,4009
Morehouse,U.S. Senate,,R,Suzanne Haik Terrell,3974
Natchitoches,U.S. Senate,,D,Mary Landrieu,5399
Natchitoches,U.S. Senate,,R,Suzanne Haik Terrell,4517
Orleans,U.S. Senate,,D,Mary Landrieu,105780
