county,precinct,office,district,party,candidate,votes
East Baton Rouge,01 017,State House,29,DEM,Edmond Jordan,6
East Baton Rouge,01 023,State House,29,DEM,Edmond Jordan,9
East Baton Rouge,01 024,State House,29,DEM,Edmond Jordan,18
East Baton Rouge,01 025,State House,29,DEM,Edmond Jordan,31
East Baton Rouge,01 058 A,State House,29,DEM,Edmond Jordan,17
East Baton Rouge,01 058 B,State House,29,DEM,Edmond Jordan,6
East Baton Rouge,01 077 A,State House,29,DEM,Edmond Jordan,33
East Baton Rouge,01 077 B,State House,29,DEM,Edmond Jordan,36
East Baton Rouge,01 084 A,State House,29,DEM,Edmond Jordan,24
East Baton Rouge,01 084 B,State House,29,DEM,Edmond Jordan,20
East Baton Rouge,01 085 A,State House,29,DEM,Edmond Jordan,34
East Baton Rouge,01 085 B,State House,29,DEM,Edmond Jordan,13
East Baton Rouge,02 011,State House,29,DEM,Edmond Jordan,31
East Baton Rouge,02 016 A,State House,29,DEM,Edmond Jordan,25
East Baton Rouge,02 016 B,State House,29,DEM,Edmond Jordan,28
East Baton Rouge,02 023 A,State House,29,DEM,Edmond Jordan,26
East Baton Rouge,02 023 B,State House,29,DEM,Edmond Jordan,21
East Baton Rouge,02 027 A,State House,29,DEM,Edmond Jordan,49
East Baton Rouge,02 027 B,State House,29,DEM,Edmond Jordan,40
East Baton Rouge,02 030 A,State House,29,DEM,Edmond Jordan,36
East Baton Rouge,02 030 B,State House,29,DEM,Edmond Jordan,29
East Baton Rouge,Early Voting,State House,29,DEM,Edmond Jordan,55
East Baton Rouge,01 017,State House,29,DEM,Vereta T. Lee,9
East Baton Rouge,01 023,State House,29,DEM,Vereta T. Lee,29
East Baton Rouge,01 024,State House,29,DEM,Vereta T. Lee,41
East Baton Rouge,01 025,State House,29,DEM,Vereta T. Lee,29
East Baton Rouge,01 058 A,State House,29,DEM,Vereta T. Lee,19
East Baton Rouge,01 058 B,State House,29,DEM,Vereta T. Lee,26
East Baton Rouge,01 077 A,State House,29,DEM,Vereta T. Lee,66
East Baton Rouge,01 077 B,State House,29,DEM,Vereta T. Lee,54
East Baton Rouge,01 084 A,State House,29,DEM,Vereta T. Lee,64
East Baton Rouge,01 084 B,State House,29,DEM,Vereta T. Lee,80
East Baton Rouge,01 085 A,State House,29,DEM,Vereta T. Lee,43
East Baton Rouge,01 085 B,State House,29,DEM,Vereta T. Lee,45
East Baton Rouge,02 011,State House,29,DEM,Vereta T. Lee,28
East Baton Rouge,02 016 A,State House,29,DEM,Vereta T. Lee,67
East Baton Rouge,02 016 B,State House,29,DEM,Vereta T. Lee,42
East Baton Rouge,02 023 A,State House,29,DEM,Vereta T. Lee,34
East Baton Rouge,02 023 B,State House,29,DEM,Vereta T. Lee,37
East Baton Rouge,02 027 A,State House,29,DEM,Vereta T. Lee,88
East Baton Rouge,02 027 B,State House,29,DEM,Vereta T. Lee,80
East Baton Rouge,02 030 A,State House,29,DEM,Vereta T. Lee,66
East Baton Rouge,02 030 B,State House,29,DEM,Vereta T. Lee,68
East Baton Rouge,Early Voting,State House,29,DEM,Vereta T. Lee,105
